,PPV,merge,prune,PPV,merge,prune,PPV,merge,prune,PPV,merge,prune
Aftershock,59.226607142857134,0.0,0.0,65.77374999999999,0.0,0.0,72.22333333333334,1.0,0.0,63.39285714285714,0.0,0.0
Archipelago,55.65464285714285,0.0,0.0,57.14267857142856,0.4,0.6,59.226250000000014,0.4,0.0,59.225535714285726,0.2,0.2
BigGameHunters,52.97607142857142,0.0,1.0,59.226250000000014,0.6,0.0,58.33339285714286,0.2,0.2,58.03625,1.2,1.2
Caldera,64.58339285714285,0.0,0.2,69.64267857142856,0.2,0.4,66.66660714285713,2.0,0.4,65.47589285714285,1.6,1.6
Circle,80.05875,0.0,0.4,88.09464285714287,2.0,0.0,87.2017857142857,0.2,0.0,86.30875,0.2,0.0
CrescentMoon,52.08410714285715,0.0,0.2,58.03589285714285,0.6,0.4,54.761964285714285,0.0,0.0,56.845357142857154,0.6,0.0
Desolation,56.249999999999986,0.0,0.4,62.20196428571428,0.0,0.2,60.71375,0.8,0.0,62.50017857142856,2.0,0.2
EbonLakes,53.57142857142857,0.0,0.2,57.44071428571428,1.2,0.4,54.761785714285715,0.6,0.2,56.54785714285715,0.8,0.2
Entanglement,62.796964285714296,0.0,0.0,66.36892857142857,0.4,0.2,65.77321428571429,0.4,0.0,64.58303571428571,0.4,0.2
Eruption,49.703214285714296,0.0,0.4,55.059642857142855,0.2,2.0,52.67839285714285,0.4,1.4,53.27428571428572,0.6,2.0
Average,58.690517857142844,0.0,0.28,63.89871428571429,0.56,0.42000000000000004,63.234047619047615,0.6,0.22000000000000003,62.61899999999999,0.76,0.56
